n,actual_count,expected_count,error
500002,36961,34279.64901138154,2681.350988618462
501002,37032,34343.53289546831,2688.4671045316936
502002,37111,34407.40871912003,2703.5912808799694
503002,37182,34471.27650039716,2710.723499602842
504002,37263,34535.13625728364,2727.863742716363
505002,37342,34598.98800768739,2743.0119923126113
506002,37394,34662.8317694407,2731.1682305592985
507002,37468,34726.66756030079,2741.33243969921
508002,37542,34790.49539795022,2751.504602049783
509002,37610,34854.31529999736,2755.684700002639
510002,37680,34918.127283976886,2761.8727160231138
511002,37759,34981.931367350146,2777.0686326498544
512002,37820,35045.72756750571,2774.27243249429
513002,37897,35109.51590175975,2787.484098240253
514002,37961,35173.296387356466,2787.703612643534
515002,38029,35237.06904146866,2791.9309585313385
516002,38096,35300.83388119797,2795.16611880203
517002,38159,35364.590923575444,2794.4090764245557
518002,38221,35428.34018556192,2792.659814438077
519002,38287,35492.081684048484,2794.918315951516
520002,38342,35555.81543585683,2786.184564143172
521002,38421,35619.541457739724,2801.458542260276
522002,38480,35683.25976638141,2796.7402336185914
523002,38550,35746.970378398044,2803.029621601956
